TransID,CustID,TransTotal,TransNumItems,TransDesc
75,19,959.56,12,ypOUBjrgMZXiWgjCkCbhaEZUpOZNNPjBkSIVkWAYAohGK
76,6,1170.52,6,wWzWaDhcnUPvVBVUxXPvuBWWnFYSzUYEmDZknAEvRMQmJ
77,13,1195.91,14,jEUOTNpQsipvhylycccwh
78,98,1722.04,8,OnpwKVdEskuMsZcFcHmcseEKzYFtFvArVZFTbVV
79,122,1452.74,9,OxgMIiyIrXDINTWwsFyPeVwPMSmJzKnTIZlKNAdEb
80,119,790.93,8,ZknAaRUpRSOjHrbUapgGFmtN
81,111,1338.02,14,CibxBXzKMpteGNxlwRdST
82,193,109.94,8,akEiBuGdmlWvSnhgVFohDxAScthnAIZPNioKMkf
83,77,1653.86,9,vcWZSoFZqfbmOpxclOcDeporcYwaMbdouCdyJtg
84,27,800.79,5,LuqbcwMJUSMlZnHAalyV
85,199,1303.52,13,cQDjCtKzplxuuMcPjZNvIQfvDtdARSX
86,27,1920.9,5,rRMuKJtWSVaxxuBtKBlLDVlHxndtirUXYLeKDs
87,180,1401.0,10,DOqsRDhoDlzlsQTgLDRjHq
88,3,1538.44,7,vdyGimEOPZRHvthIdxlA
89,96,333.71,5,NRqNDadxDRXlHTwQDfxWnUZQWkEArLQwPT
90,169,1869.14,11,QUVpiwVegzoNJLvnTvkcKLMfAGaIceHFzxoomLnezlN
91,56,629.66,5,BXOmnTlwNXoKdAUjxrZMOsXKmzPKQbuUT
92,30,1390.96,8,JhXwQhiikUGIREqtToeVz
93,193,911.78,1,oPJvsplOTkbjpDKybbegddVFvqtLqwWsjBcyDzPteanqOewWP
94,166,943.08,8,rqxCibeXlGcuEyZvFvXCbZQBoYOlb
95,179,1870.93,8,suCzzGolkMAbYZzSEhDijXB
96,149,15.18,13,lQELIdVDPHpDRtHAVuQcYJIgVBwOOxydZwrHnwsUyrpizzq
97,111,1645.86,12,neqFFrjpvOSkMdMEfboFxpRuSKcpXQkzNQGDRqLCCaCV
98,153,1199.81,7,TchbNzrRDZMhxsQyADAoznGOIUphAEPWUce
99,186,48.49,3,QxSjXjqnSpOGybCkOUUgvnvXuEUEeVROGezuSrPe
100,181,609.92,14,fKAgeWsdFjQzAuWMGUNOHKmKhJvyNFMyYMYtZ
101,53,166.6,3,ddzUgaSAFmaCaTjRseIDQuv
102,38,1106.28,9,QixPbQxBkmUAptVVfAARSdgyjfXvkVThkGreVDeZp
103,130,1290.86,2,mGPhUGTXqsZJelLazmxjMUIwSdYAMelBzN
104,126,1618.05,4,cNRDvfksHKwPvrDiKBXSmTjmvofyAMQTxNqQlliebil
105,68,1276.07,14,tMFiWsymdrUtyXsBDCRjBV
106,194,1556.25,12,lGftZXacsPIMmftfUiZKXPVOBFlnYtMYJhIiOCMID
107,178,1097.06,9,wUsxYvuzPbVCVhPPupUMeNrWtxcmVR
108,92,1509.32,6,RNCPcinlFIyQaBeLtzajCwRMq
109,10,1757.06,5,iXBntDmyHcTJaTjBSDKAmmp
110,112,1751.99,2,BJkVFQNaMFYLxaLiwouCezCnBSXaJWoLvdNkllrPmXVIiQHsxq
111,153,1226.07,6,ttnSClYMUfuYARcKxQeZOuMCLYdVP
112,98,1669.95,12,RKwZsZrXjqonVvRXSPGjfkEWxncQPPDvGRAmJgJcoRJpIcLKy
113,31,337.69,2,FCbUEavVqsCsKJMmBjAbtpKFenruXtWUfr
114,10,170.09,8,AeYJkvLjlocnBksMXnfyKUPwmPdbshBvWKqVbu
115,66,1194.45,2,mUJIynMeXbqjAlfJHoQeQqzRcHweXUnQYdzXyahBqcq
116,80,1777.42,1,mTAxrWHmwPEuyyJeevRlyrtgPqQqQYhGdLQXnn
117,154,333.11,11,SdeTiSQDhtkAVGuFyMoOCLnZZBgHMrzamWeHItYnoQnQHZAj
118,196,1270.28,10,LSpiNYUZeKgIcQXvrFRKnZkFkb
119,174,1642.88,2,bLVosYgPUVnrlspHyICxEAVjfpbuAHCZBD
120,25,1292.12,6,WwArvhWOEWtKslpvGClJcfUQHGTSeBlUkNSKdaQKLVtZ
121,2,1358.55,7,SMRzMqANcnOlNLEoqUyozSao
122,167,218.85,4,pGGRSUqAmzdDHHOuyObcVyEbVueONVhfJCxkmPIhZRQCwobL
123,47,1460.75,11,EtxsOtkjNixrisToeLZRjkusTsnhZHbZmOBacXsspf
124,134,201.83,14,ZTsXYcelPlUtHVUwcqdBaFUnudgEPPoyDDC
125,133,1760.19,1,GvwCIpfeNemuSazDcNVYnp
126,113,801.66,4,DrGFjCupSuZsaRdnWOzvGTDUuyDjCRhgBTMEKdJVRxd
127,11,1422.97,4,ihYDHeRzwMlNhYDXmEbxOPEQvQULx
128,178,269.44,4,SPWsunOdcbGxXRGJdMjMfDJHYBLZMjcIiDFkzJNJiLj
129,59,1554.38,12,yPppzgSmLLgZWBObbCqKAzlMkNcAaEYBX
130,20,718.39,14,dNHfaHsenRqazzElOsbRGDLMJkWisSQOjW
131,60,274.74,14,obHQJvFeRLwzVFhVWmsYiHJPnbKpuMOCiLspnjfNawU
132,12,16.3,4,NRdxwviXcBqOoCaUkgvNvvDRfQSrLJxthpk
133,6,90.37,13,VXqlwfrHTzUlLprUFHOqSunCDIaqEpUZDhViGOCUN
134,25,1621.87,5,ZOZyWxXzXLOLuHkvawLsfTwiTahMZuSObTrpzQejiJCNaJr
135,14,148.34,10,LFVJpZYzqdKgeamjRedpfBxjSFjChwrBbmiLXkIDLeKvs
136,181,1685.51,9,NpVNiMbCAhvQJDOftWGLHhhQeyppEsZPjuNCWC
137,63,1872.18,2,HbjjPkQDtOfWGPfjzLNMHvGfjcVNgaolLZKmgcavVlxzWZPG
138,9,740.33,6,rNbepTxzYovqyPfWpGSCHZEXAY
139,69,604.88,11,RNqrQuNkKTvOgcxhjZDKlDvkn
140,187,1233.28,5,OCbiSQoBflfVtOHaRngLY
141,11,389.4,14,xAyTawQdCKmISmwiDgmrGUdsrSNvxBXrjlssigX
142,61,1071.37,9,NvuzBYMuRwQTyArDCWecmUvWrkPzKGCbkGonsHWUCZBJE
143,165,1936.23,14,xiBRUqsdLeFGHNXsxiWLyAphcOiJgzgD
144,176,1031.6,12,EiKNrhDNzFwGGxLQawJEpVmOaO
145,38,679.66,7,adkuvwKhtwlBSfVmOCfglnFIpFVIyKSjCYtof
146,94,339.65,5,CknJKSKAdZcLfRPLiPEwLlp
147,108,233.39,10,dPgQdtnGImDqVyNWLjtJCbJIdoBFzztbPAUGNggO
148,156,1342.42,15,ZVDmhtossDQYveIawbljkzaQrmxYFVNPIhUu
149,155,1344.38,15,SscOcuVgxXcnijkSSxqCVVCNOBPZLALGiKMq
150,147,1227.13,13,XfsGRCRbCkLnIuKJtaSV
151,6,1054.97,9,RqgixVCDEsWMMPRdqyApUVDViLiO
152,7,30.91,1,zjSVkrwxMCOQRJZuPrZCUkKeUSKpxucLvdBakO
153,98,1085.07,5,tvnubKgfqoaMLpfIuueECAqptoffEKcNofbAATYfn
154,16,1687.31,13,nZHjjoQZDbijhdMkdSEwtqXJTzMHmNkzXIOuKAcJzlUqMZ
155,103,1975.57,14,EiTFpkUTpJtTNwpDrjoRrRtUjcKUvqlvJjoX
156,67,1751.63,14,eolNoFdfozyrLQTyHZpU
157,101,1830.75,8,DLduVgDexTbRGeUDqdDNgfrZywEmbzujyIaAykfa
158,100,1871.12,10,yOeepMudzTcFqMKZdjIZAtLMLYwXynyuTZrfqGDzRg
159,47,855.64,3,jwwchArCLYFexsIKYStjPNunuucxqZHgrpX
160,97,63.62,4,ZxpefNvsPkfTgiLtuGuXLihmiyoYOWrNa
161,150,242.36,3,lunRXPvBNZluRGLNKkvUajoeVpdaFhVJXLvsQNeWgAg
162,190,1791.04,4,YiwCEnyrpzboAlxBhUHDDgMRYrBjjgzuVTFpEprgRTXFEVI
163,37,641.04,12,tYRmxLTCaaUiZcUgWFeCuDyUZTvqEdfBAQs
164,77,626.72,12,RixKTURCGNQyZYMjYqQqEGIgmrxAFlNMEwDAoTGlirGDXMbGzw
165,56,1580.4,14,rbmYLlqXjKdUOaCYPhArtdbmPeOKYlHxUimH
166,73,1359.38,2,isbafdCDKwYUxoDHtqVRbBEoBaSFzbJqTxFadR
167,44,627.05,10,VPUArKgVRhPQjMtCnLKI
168,167,1403.48,2,WHEUpUlUHNUFSRApNEAnotqeadBjJRWCUYsfouZgiPDdggCwh
169,139,513.65,3,DfwqupXLYMUlJCUvkyVsplVrigcCwrRdqGdNNcKT
170,52,60.39,11,FyxEzbfUlukXmOCrNoFNVzxALTDbfouTfOmGeJMtHEe
171,59,1552.45,14,mturFIsxqrvZGcfVixsffQGwrHvuHDbnZFMKSWAmaavl
172,104,792.61,4,WBxKzqHbyGgXXSxECduUHO
173,147,1356.13,1,OgMEONUgQKpUFkUzTPgmovxhuirpB
174,143,696.35,14,GHKlYOCbdlnFDTdZkOrHSLcEmwSGWGvivziinPPgPGQFq
175,184,10.08,5,CTDPnuAyGZiJCASSCcnch
176,47,500.69,14,nMFBIusRwOWNZUhdtYBpaNPXcFe
177,50,1110.14,13,LDoWTKMbuJHqxuuKRbroRaLeXcvuljSUWuErkxnkZPNVuEZzUj
178,163,571.04,4,OAxwlMDRSOpqgRBoAJTLGZuwxyERqzNb
179,90,231.66,14,vvcbxxFkHEhDyWpUwhUNVBlDEalzofJxyNEo
180,52,1073.0,5,jdWxqVCaEPyXhTaZpdbGaQIaBxLsJW
181,173,473.68,2,tDRbSyFrGGQrjYTfbkQHPkdo
182,90,77.1,7,qfZNSQtPAYRfDEsbWCKymqna
183,130,340.49,11,uqUkrFVTEzZMXztPlTjeZbSPPflez
184,190,143.21,7,BtxUFfbOmINksiYjxMsHD
185,171,1409.38,11,IIxKQkZQRtyrYsYWFfZGqAFRGHFWDCoLDvOC
186,194,834.94,4,nrqzGqvnIEnNDvBbTgUDOmyxpxXbIsnVsHoBfMZKEuWcRvef
187,141,618.26,15,hKQatQxgryWcIqlYsDlIaorAgtfwHfVHGSvQYZLjyTGdnpqCx
188,183,212.97,10,TBaWmmaIoaioUlAipRaftYwyGngdDYZlUyASvQpqMVU
189,115,456.54,12,TdfKfgXEGWepneBaXkkNL
190,78,501.18,5,kTAirIoOjIaxSEFfeRRnaPIlAryLRjMq
191,128,1923.5,3,zGJIOjvsDaHKrNPDlqaKgMajp
192,31,1435.63,10,raHWqnWVyimGjUInTwmWHhGECLykjYHjGQUulcAaHAMWnv
193,158,1426.28,6,rnUUIFQxYICcssamCIlrDt
194,197,911.59,12,evzSDaMMAJKmYPDWIjHw
195,119,1325.03,6,VLxQMMXsrLfZFKxQwOynDWcLIhXcheiCRcICQAbJMot
196,104,317.66,15,tQoATGCRhRnNziNaWczWAwLLlUTki
197,133,1052.47,12,OvdYCnjKBgLYegVfgJuJzQ
198,162,370.43,14,IgWiHOfTSOQvmCosFQQu
199,142,555.29,12,niUxcxcVnrekerMfnIjJAqLTFahTU
200,177,1178.22,11,tWvtqnfSNLBqIytYrcuMASwxNoNupSrGKmGtbDwZsRdepbz
201,188,53.38,7,xvDBGcRbqbtfZRtmUpvFMgaXLSZmZgv
202,57,328.12,1,gWtKIwTAfztCxUsIIfIWXzYGOb
203,197,1553.39,2,zAXySXoAFarwByoDbwNtCKjgt
204,69,1176.62,4,ZiACLsZiIZGXIuvxrhgEVxtvjhWzSUUZSXYAjDAodcI
205,167,1308.05,14,OMhDkMGgcIjptjsqTwcgoBhytKjbPDoPbga
206,91,1306.89,15,XRQjbSNMIvFJqWXyQoXhxipgozogOM
207,198,347.45,9,mxxCukUTsXSpLFePCdPNPyIBJsGiuIEGShbWtbIZO
208,45,1379.88,1,uLaXQDviuuCqbuXYlHhYcXekhGDShtWs
209,145,842.93,13,aMjolTxKZqRUkNfAAibF
210,111,349.65,2,MyQnXAraJVouzxAQdYcGzLqhzjmmxEOSVot
211,123,1117.66,5,jWhQnGONWqQOFWecCTLPNhbtjHPpNsIYYiwqMRRFlGlWNKZzd
212,5,1876.02,13,CeXcXqDnJyubdldPtaZSMnUyCfrKIrmCgFMmlnXV
213,198,820.41,12,FzuqIvphWErtJjfkLhhHMSUNngHIY
214,59,732.37,2,ByfWsYHNuKUTvkcXzHLfBlEKhKOOweeeKPg
215,164,1076.04,13,rrEiVhWSbpuUUWjjhBSNsNmjjjiueKOzYiX
216,24,1509.75,7,kikfFJECKYHboZTzIjlmZtKHoIvTlzeskcMcGMlphBScgA
217,16,1169.8,13,LlhAdZoEuIeUtYzHTIzCSclTzxcGPGyetqyMZgCFCQYSkmpb
218,17,541.76,2,tKXkCPaIOnffuDKOBDtpjl
219,11,1128.17,2,SmmkAAYeamuPsUNFToLPaMiVkpoINXEHIsXEqNMqJI
220,10,327.59,8,CPoliuTdrreYVfYToZPLOLAXOkqkwvZfPGpdebdtQgINDJzdKh
221,132,1727.32,14,sZxCWakUWqUinjBobZUqSiRWagQgkUgCALnofIgHaBCUJaYpB
222,45,400.55,4,msXlLUlJswGnzeBAKgdjtGpDnLFJdaQ
223,176,640.46,14,gsHHxakglOdMIiUVACtIbAJOeJxLUOHJHhGdSeOCkU
224,37,640.12,5,coDtcCeCFlBuvbUuCIWQEs
225,173,235.03,14,PFfXsChYiAdxIshuJcGAyyzrGNAMxLLuMAU
226,84,1721.58,10,OisMTvIQeqDIGWdzADQiyeQsDrsurXRy
227,90,816.08,5,ZekqJCmyhIfeklAijZGbMQopTbMqoeVGJ
228,129,87.75,1,jstmFVNzpsOOsXOPArDQmoNVBtqtJovjRHMXOVPgyVRwYu
229,57,290.66,4,EFoUTAQukiWGHvFKAwrcBNNHmLzmzuflnVdYiaCC
230,27,669.73,14,YtyLlYqqejATHwgHJWMGKnqYnkBXduDNOEkqukcjreHbH
231,60,1255.56,9,WobksjagJkPxSQrbWpgFdrjcOrrHaNlOnTTUy
232,26,1190.8,12,VibttbiiYQTuGizIlNbnlCkqabQpXBtLbo
233,71,1755.68,9,kGRAJhqVmThRLDlOXhtOMooJpiWrD
234,35,1865.14,9,gPfgypXrnTCsWjlXcYMHAtcSrEjpXDb
235,176,1287.78,9,XaShpKiOuiQbFUSycAHBBHSTsbyhsBCWPvLOteBuUAscTJ
236,163,1795.55,2,JpglgLHVbmKlhqwECEFJbgeHczUBtCHevTkUlpu
237,108,50.02,8,tTeRcNrXmVVXSZHJLZvLVTSYvLDgzrULbzjPwnbfxJ
238,112,1588.91,13,xQLNHBudHngqZgnnvcQdhhIYnRRzcPuTqAeiNwU
239,132,556.52,2,zbByYrVPXHVBQwSQIXTvrJSCljfIjcfFcdCGTQgNeDgia
240,34,639.24,15,nkHvtyjDWYVWqjjyhMdbbJqAJhehJbAebZCg
241,168,1309.04,6,IbDQPnfNWsiRVMhujaLzjtccKekEh
242,53,1273.29,1,bGlVNDYkAyBNdGLVdtAgUWOkqOJMRwpBVuzqhhhmRoz
243,56,1503.85,15,AHqEiviaquDjoiUNwSSXfFAqHvBFspfrAntbXLAOWqVaUP
244,74,114.46,2,KbsScHgbsjelpSynYQgajGEbOjMTfrBs
245,112,1698.55,13,ouCzuSNgJvPJkByFrBARUbGGHaAu
246,84,913.84,4,ROKFQykcxmDrIovzOWafxqGXOvP
247,146,712.31,14,XIXaETOffjrmDRIiusum
248,160,1933.03,12,sGzQrOeLLcPcfpmcJeowFlXeR
249,193,1557.7,4,fbpJabURDuwVQuFRzTveOLezeUfesFTKAeCedSUAgcrZzWDP
250,40,87.8,3,DivTjvaKXXlxtijNirvZFjutDorql
251,15,1222.63,9,QJlljVwgBZXMGibduZkGVWPWSNpUutV
252,106,778.32,3,whteoTayWLeGjuZMFEgtMPNOfjeUbvVwXXqOjWO
253,67,1587.65,1,hbswFscpnLwUlJsHPnvYliTHdGUVHdExpbvuiLfM
254,191,1890.8,1,ompPakWUEEaRGJTArqqQYVxEbJd
255,94,1034.11,2,BJnsRedABAspXCpSgeOYoSeACVDMkB
256,49,345.74,4,waMfZFHndDWGQVlCAKKwHquvfbsxWUSQqobmUI
257,15,1247.94,3,pUgofglYLGOXlNAREnGFBaWrjYgg
258,48,1660.37,14,QUYKNirtnkAUPcQUehvbVxSzfzjoBzTXUTcfeU
259,176,994.88,1,uKlbOUMkZuhwtptdDHrbuGRllzICvE
260,154,1544.22,1,cyhTYPxojFdAaEGiGbnjwqHjVKDYRfYUpSwUyGv
261,43,558.14,4,zIIheJQJFzYEVtpswTnOcvMmHythjabiBkQLcoMjVGU
262,188,164.29,13,mzaALRiTqhNZbqpLPTnTkVEHcEUQYitrdaKmPsPTDdIfmGul
263,111,82.02,1,GWVZEZSfNCfhGWXvODazkHLgMEsPT
264,71,308.08,2,mMbWoHseDgBkhpmJGHWpzjFATBsIVJQCRAqAZTVXVsSd
265,196,1460.18,8,qrLefAzMyaDGEsMxOZOhhUhYNlMS
266,101,487.14,10,ZiYevHcTEsivbKghPgoScKx
267,59,921.97,14,RtkCpTwRSJPfgKbVXvrdtObgKjJmVZauD
268,47,1546.94,11,mbJWcikphlqldJrISEFoUUrTrEFchZSt
269,185,1880.56,9,zxrUmlnuVNYjZbccGFwHkDYxAFosPmNyqbysep
270,95,1773.29,9,DknWZIlQEhCtWVsgoBKpghhVcGvPkh
271,83,1544.12,10,uJfAQbksFtiFOOWdwqnVDrbdrnzdVGXzXyI
272,50,803.86,11,pPGozPHWfqYkZOGuuJYPSxu
273,9,1507.43,3,iWCecnWWsiJrQxeoCPKNIEKfzEQKYvncgKBls
274,99,1245.21,14,aPznXfAbDqnHGQyXjVDMP
275,63,981.76,7,AyfJsFUscVUombQHApkq
276,14,782.62,14,fnYGTmxFEAPWUetDmZUHAsqhqzrbmlzHYzjYOwnRXyqKQ
277,187,1027.88,2,OJDcPVFijvZEqYGhKiTUDgNiuCCUmgqAfMvurETg
278,143,139.41,3,VVmNLOOwVnPTLFzUewIrnyisULiXKVPyZsMjmExFplzfG
279,13,210.5,6,GFRvZRhKVPDezHiDHnqXKwpQIIAcZxjZhjzZscEvQoCTUeVvsv
280,176,486.34,15,EyxBcmhWZfWlxAJqkNrhPZ
281,57,1040.8,4,JqOKZvZlKBJJMNIIJFAlAxFkvpuFCfhmKAFOtifRUH
282,68,1086.64,10,YhDTIlhwztxgwNfudrEesWyeCILOmKqyovdBBeUfmxrcaChDFd
283,44,1104.07,1,EjGowXjjiPXCoiXLZocaJKVRVYVTYxVAJlpIAgFlnyIcyFeoRn
284,90,903.87,11,wKMtmSaONehGYYQlJyVN
285,87,1073.07,7,exRQIsGUTjcWwuAyUWMstrlIGbEjEzTnpTUDVimbjiPQNwuV
286,130,1469.54,12,PsjxSfddUNLlFQgyZLNQuC
287,145,1201.15,6,jhYAbwOkcYbBQvjSdMggUPMAPS
288,176,717.08,5,lmUdZpaUdyapDvGhBpKnVapgxqEQUIuTdyPJWvEG
289,99,1501.8,9,pDgzqBKKIFIkGtdkYDdTQXaI
290,70,1647.02,10,zwXlmjnYvLAXCvNAWjunkEdiOLi
291,22,846.9,3,VdEMNxeewgZFDovYWQGj
292,73,1435.43,10,XujGHQIGVUbydXdHFCVvSIxXh
293,101,490.8,12,zocJaMldlgnEHcyIfJgSRsQ
294,44,406.68,13,iEwFjwhyIvIYgVPMCSVDCXEzxtBz
295,51,448.58,15,pLyOLOgptFrpnkVDSPjENHVzfMHmWyQEWnNGsCUTYwjzVEWjq
296,31,1071.96,14,kksYTrnsHwMMaGwmgmRGwdkMrOFdYgjFHOZuLokhm
297,130,1507.13,14,imSxGZcPJZUpTZbyomoXqFrPQxYRmexKriUbdbwqGCNnOf
298,194,653.07,8,jErFrDMhACaKdUDqRMEvrmjAzxHTPUyWTmMBOOdiZQM
299,23,1406.19,5,srjrvyIVxbDxOlmJMcDotxFGHyc
300,65,373.59,1,HtmnRqooKKCRecVqHOyFsjDSHhAVlrorkybngVwYzaEMHusR
301,165,1832.9,7,iSbLibRgUvckLTwMMdjaCugQMHltwslwHDlRbLDLDZNnJRpm
302,97,1704.08,15,NmYqMNvuxyZODQSaaiyuJelUhDUPxDkcfxOChesyHaVYpYlVdy
303,73,1929.24,7,lZOfsIZFIUAuwPgKNwRE
304,188,1983.62,6,TMSLoIrooHcKUORqnMmmlZtffrc
305,158,1320.77,8,DYgbBhigClAfrBLsYAXEqFdhbMrsJweoQkWvsFUAwq
306,49,605.78,11,tDAZphIsCqSMzZsvKyZZqzPqAgpjJh
307,107,433.97,7,iXmHjyavvnAXsfVrTbGkkZfmqAkzDJOBEZkyF
308,174,1476.56,5,lrAQmDdyRrPbJPSQhmbiacNuAEPXZu
309,60,1737.72,3,alNidJoBbhWSInAOGjmpp
310,154,1120.75,3,OSzeXjUWsCwnmDErQApRigafAGqXvIYlHugLEdWxngtyqiQQLJ
311,16,1441.57,7,ioMzwOgvxBVWXMgtYSpPfAGbehbfG
312,48,825.71,15,iPlSdsBozJZPfBWGYlWrujAMUtAv
313,168,955.1,7,INqHZjeMhUUQfnOYRiZBUEfDjS
314,39,1848.05,9,TFNObFhBYQQQoSIeEtjYOUUAeaxvncY
315,11,1411.59,15,HEtjVJYJlDRxAgtGygflfuKbYzzX
316,192,1820.25,1,qbICKxiDrkseySYHXfqrWXLYEbUoUsvjBkcPdUboGp
317,192,1866.28,15,KPyrjFdEcPESvlbrAwBofWGuxW
318,191,73.75,11,jOOVaPqVtjilNpXPSsXrYjfZxZvRihUIP
